STORY,QUERY,TRACK,INDEX
"In a maternity ward of a hospital, Nurse Zhao is taking care of newborn babies. She tells the new nurse, Xiao Yang, ""Today, 20 babies are born, most of them are boys, some are girls, but there are hardly any twins."" Xiao Yang counts and finds that there are only 5 girls.","<QUESTION>###QUESTION: Before Xiao Yang counts, how many boys does she guess there are?</QUESTION>
<OPTIONS>###OPTION: A. Before Xiao Yang counts, she guesses there are 10 boys. B. Before Xiao Yang counts, she guesses there are 20 boys. C. Before Xiao Yang counts, she guesses there are 19 boys. D. Before Xiao Yang counts, she guesses there are 17 boys.</OPTIONS>",356,158
"In a maternity ward of a hospital, Nurse Zhao is taking care of newborn babies. She says to the new nurse, Xiao Yang, ""Today, 20 babies are born, most of them are boys, some are girls, but there are hardly any twins."" Xiao Yang counts and finds that there are only 5 girls.","<QUESTION>###QUESTION: After Xiao Yang counts, how many boys does she guess there are?</QUESTION>
<OPTIONS>###OPTION: A. After counting, Xiao Yang guesses there are 13 boys. B. After counting, Xiao Yang guesses there are 15 boys. C. After counting, Xiao Yang guesses there are 19 boys. D. After counting, Xiao Yang guesses there are 17 boys.</OPTIONS>",357,159
"In a farm, farmer Xiao Wang is checking different types of vegetables. He says to his assistant Xiao Li, ""We plant 40 different kinds of vegetables, most of them are tomatoes, some are carrots, but there are almost no eggplants."" After careful inspection, Xiao Li finds that there are only 5 carrots.","<QUESTION>###QUESTION: Before Xiao Li carefully inspects, how many types of tomatoes does he guess?</QUESTION>
<OPTIONS>###OPTION: A. Before Xiao Li carefully inspects, he guesses there are 20 types of tomatoes. B. Before Xiao Li carefully inspects, he guesses there are 35 types of tomatoes. C. Before Xiao Li carefully inspects, he guesses there are 39 types of tomatoes D. Before Xiao Li carefully inspects, he guesses there are 25 types of tomatoes</OPTIONS>",358,160
"In a farm, farmer Xiao Wang is checking different types of vegetables. He says to his assistant Xiao Li, ""We plant 40 different types of vegetables, most of them are tomatoes, some are carrots, but there are almost no eggplants."" After careful inspection, Xiao Li finds only 5 carrots.","<QUESTION>###QUESTION: After careful inspection, how many types of tomatoes does Xiao Li guess?</QUESTION>
<OPTIONS>###OPTION: A. After careful inspection, Xiao Li guesses there are 20 types of tomatoes. B. After careful inspection, Xiao Li guesses there are 35 types of tomatoes. C. After careful inspection, Xiao Li guesses there are 30 types of tomatoes D. After careful inspection, Xiao Li guesses there are 25 types of tomatoes</OPTIONS>",359,161
"In a fruit orchard in a rural area, Xiao Ming and Xiao Hong pick fruits together. There are 15 apples on the tree, almost half of them are red apples. Xiao Hong picks 7, then says there are 3 red apples among them.","<QUESTION>###QUESTION: Please ask how many red apples are on the tree before Xiao Hong picks them</QUESTION>
<OPTIONS>###OPTION: A. Before Xiao Hong picks the fruits, it is estimated that there are 7 red apples on the tree B. Before Xiao Hong picks the fruits, it is estimated that there are 4 red apples on the tree C. Before Xiao Hong picks the fruits, it is estimated that there are 8 red apples on the tree D. Before Xiao Hong picks the fruits, it is estimated that there are 2 red apples on the tree</OPTIONS>
<QUESTION>###QUESTION: Please ask how many red apples are there on the tree after Xiao Hong picks them</QUESTION>
<OPTIONS>###OPTION: A. After Xiao Hong picks, it is estimated that there are 0 red apples on the tree B. After Xiao Hong picks, it is estimated that there is 1 red apple on the tree C. After Xiao Hong picks, it is estimated that there are 2 red apples on the tree D. After Xiao Hong picks, it is estimated that there are 4 red apples on the tree</OPTIONS>",360-361,162
"At a family gathering, there are 30 dishes. The host tells the guests that most of the dishes are spicy, only a few dishes are sweet. After trying, the guests find that only 2 dishes are sweet.","<QUESTION>###QUESTION: Before trying, how many dishes does the guest guess are spicy?</QUESTION>
<OPTIONS>###OPTION: A. Before trying, the guest guesses that 30 dishes are spicy. B. Before trying, the guest guesses that 25 dishes are spicy. C. Before trying, the guest guesses that 10 dishes are spicy. D. Before trying, the guest guesses that 20 dishes are spicy.</OPTIONS>
<QUESTION>###QUESTION: Please guess how many dishes are spicy after the guests try?</QUESTION>
<OPTIONS>###OPTION: A. After trying, the guests guess that 30 dishes are spicy. B. After trying, the guests guess that 28 dishes are spicy. C. After trying, the guests guess that 10 dishes are spicy. D. After trying, the guests guess that 20 dishes are spicy.</OPTIONS>",362-363,163
"In a football team, there are 18 players, almost one third are goalkeepers. The coach selects some people to go to the gym to get the ball, and finds that there are 4 goalkeepers","<QUESTION>###QUESTION: Before the coach selects people to get the ball, how many goalkeepers are there in the team?</QUESTION>
<OPTIONS>###OPTION: A. Before the coach selects people to get the ball, there is 1 goalkeeper in the team. B. Before the coach selects people to get the ball, there are 8 goalkeepers in the team. C. Before the coach selects people to get the ball, there are 5 goalkeepers in the team. D. Before the coach selects people to get the ball, there are 4 goalkeepers in the team.</OPTIONS>
<QUESTION>###QUESTION: After the coach selects people to get the ball, how many goalkeepers are there in the team?</QUESTION>
<OPTIONS>###OPTION: A. After the coach selects people to get the ball, there is 1 goalkeeper in the team. B. After the coach selects people to get the ball, there are 6 goalkeepers in the team. C. After the coach selects people to get the ball, there are 5 goalkeepers in the team. D. After the coach selects people to get the ball, there are 4 goalkeepers in the team.</OPTIONS>",364-365,164
"In a classroom of a middle school, teacher Wang is explaining different subjects. He says to student Liu, ""We have 10 different courses, most are science courses, some are literature courses, but there are hardly any art courses."" Liu flips through the schedule and finds only 3 art classes.","<QUESTION>###QUESTION: Before Liu flips through the schedule, how many science classes does he guess?</QUESTION>
<OPTIONS>###OPTION: A. Before Liu flips through the schedule, he guesses there are 3 science classes B. Before Liu flips through the schedule, he guesses there are 10 science classes C. Before Liu flips through the schedule, he guesses there are 8 science classes D. Before Liu flips through the schedule, he guesses there are 9 science classes</OPTIONS>",366,165
"In a classroom of a middle school, teacher Wang is explaining different subjects. He says to student Liu, ""We have 10 different courses, most of which are science courses, some are literature courses, but there are hardly any art courses."" Liu flips through the timetable and finds that there are only 3 art classes.","<QUESTION>###QUESTION: How many science classes does Liu guess there are after flipping through the timetable?</QUESTION>
<OPTIONS>###OPTION: A. After flipping through the timetable, Liu guesses there are 7 science classes B. After flipping through the timetable, Liu guesses there are 10 science classes C. After flipping through the timetable, Liu guesses there are 8 science classes D. After flipping through the timetable, Liu guesses there are 6 science classes</OPTIONS>",367,166
"There are 35 students in a class. The class teacher tells the counselor that he thinks the vast majority of students like to play basketball, a small part likes to play badminton, and almost no one likes to play volleyball. After the counselor investigates, he finds that only 5 students like to play badminton.","<QUESTION>###QUESTION: How many students does the counselor estimate like to play basketball before the investigation?</QUESTION>
<OPTIONS>###OPTION: A. Before the investigation, the counselor estimates that 10 students like to play basketball. B. Before the investigation, the counselor estimates that 20 students like to play basketball C. Before the investigation, the counselor estimates that 25 students like to play basketball D. Before the investigation, the counselor estimates that 5 students like to play basketball.</OPTIONS>
<QUESTION>###QUESTION: After the counselor investigates, how many students does he estimate like to play basketball?</QUESTION>
<OPTIONS>###OPTION: A. After the counselor investigates, he estimates that 25 students like to play basketball. B. After the counselor investigates, he estimates that 20 students like to play basketball C. After the counselor investigates, he estimates that 28 students like to play basketball D. After the counselor investigates, he estimates that 35 students like to play basketball.</OPTIONS>",368-369,167
"In an amusement park, dad and son Xiao Chen are in line to ride the roller coaster. The roller coaster has 30 seats but only 20 people are sitting. Dad tells his son, ""Most people choose to sit in the front row, a small part in the back row, almost no one sits in the middle."" The son counts and finds that only 2 people are sitting in the middle.","<QUESTION>###QUESTION: Does Xiao Chen guess that there are people sitting in the back row before he counts?</QUESTION>
<OPTIONS>###OPTION: A. Before Xiao Chen counts, he guesses that there are 10 people sitting in the back row. B. Before Xiao Chen counts, he guesses that there are 15 people sitting in the back row. C. Before Xiao Chen counts, he guesses that there are 12 people sitting in the back row. D. Before Xiao Chen counts, he guesses that there are 5 people sitting in the back row.</OPTIONS>
<QUESTION>###QUESTION: After Xiao Chen counts, does he guess that people are sitting in the back row?</QUESTION>
<OPTIONS>###OPTION: A. After Xiao Chen counts, he guesses that 10 people are sitting in the back row. B. After Xiao Chen counts, he guesses that 15 people are sitting in the back row. C. After Xiao Chen counts, he guesses that 12 people are sitting in the back row. D. After Xiao Chen counts, he guesses that 18 people are sitting in the back row.</OPTIONS>",370-371,168
